,gvkey,iid,datadate,tic,conm,at,prccm,cshoq
0,001690,01,2010-09-30,AAPL,APPLE INC,75183.0,283.75,915.97
1,001690,01,2011-09-30,AAPL,APPLE INC,116371.0,381.32,929.277
2,001690,01,2012-09-30,AAPL,APPLE INC,176064.0,667.105,939.208
3,001690,01,2013-09-30,AAPL,APPLE INC,207000.0,476.75,899.213
4,001690,01,2014-09-30,AAPL,APPLE INC,231839.0,100.75,5866.161
5,001690,01,2015-09-30,AAPL,APPLE INC,290479.0,110.3,5578.753
6,001690,01,2016-09-30,AAPL,APPLE INC,321686.0,113.05,5336.166
7,001690,01,2017-09-30,AAPL,APPLE INC,375319.0,154.12,5126.201
8,001690,01,2018-09-30,AAPL,APPLE INC,365725.0,225.74,4754.986
9,001690,01,2019-09-30,AAPL,APPLE INC,338516.0,223.97,4443.236
10,001690,01,2020-09-30,AAPL,APPLE INC,323888.0,115.81,16976.763
11,001690,01,2021-09-30,AAPL,APPLE INC,351002.0,141.5,16426.786
